TIME,DEVICE,CONSUMPTION
01-01-20 0:00,D1,0.092
01-01-20 0:01,D1,0.776
01-01-20 0:02,D1,0.295
01-01-20 0:03,D1,0.169
01-01-20 0:04,D1,0.205
01-01-20 0:04,D1,0.205
01-01-20 0:06,D1,0.823
01-01-20 0:07,D1,0.314
01-01-20 0:08,D1,0.802
01-01-20 0:09,D1,0.985
01-01-20 0:10,D1,0.559
01-01-20 0:10,D1,0.559
01-01-20 0:12,D1,0.737
01-01-20 0:13,D1,0.624
01-01-20 0:14,D1,0.809
01-01-20 0:15,D1,0.306
01-01-20 0:16,D1,0.668
01-01-20 0:17,D1,0.032
01-01-20 0:18,D1,0.203
01-01-20 0:19,D1,0.501
01-01-20 0:20,D1,0.132
01-01-20 0:21,D1,0.63
01-01-20 0:22,D1,0.389
01-01-20 0:23,D1,0.556
01-01-20 0:24,D1,0.618
01-01-20 0:25,D1,0.975
01-01-20 0:26,D1,0.629
01-01-20 0:27,D1,0.319
01-01-20 0:28,D1,0.597
01-01-20 0:29,D1,0.605
01-01-20 0:30,D1,0.706
01-01-20 0:30,D1,0.706
01-01-20 0:32,D1,0.39
01-01-20 0:33,D1,0.009
01-01-20 0:34,D1,0.23
01-01-20 0:35,D1,0.148
01-01-20 0:36,D1,0.551
01-01-20 0:37,D1,0.302
01-01-20 0:38,D1,0.167
01-01-20 0:39,D1,0.702
01-01-20 0:40,D1,0.342
01-01-20 0:41,D1,0.25
01-01-20 0:42,D1,0.636
01-01-20 0:43,D1,0.695
01-01-20 0:44,D1,0.715
01-01-20 0:45,D1,0.556
01-01-20 0:46,D1,0.82
01-01-20 0:47,D1,0.703
01-01-20 0:48,D1,0.177
01-01-20 0:49,D1,0.918
01-01-20 0:50,D1,0.105
01-01-20 0:51,D1,0.353
01-01-20 0:52,D1,0.829
01-01-20 0:53,D1,0.206
01-01-20 0:54,D1,0.437
01-01-20 0:55,D1,0.286
01-01-20 0:56,D1,0.849
01-01-20 0:57,D1,0.283
01-01-20 0:58,D1,0.237
01-01-20 0:59,D1,0.475
